ID,SEX,AGE,RACE,MARITAL,SIBS,CHILDS,HOMPOP,ADULTS,BABIES,EDUC,MAEDUC,PAEDUC,SPEDUC,RINCOME,INCOME,WRKSTAT,YEARSJOB,WRKGOVT,WRKSLF,SPWRKSTA,SATJOB1,HEALTH,HAPPY,VOTE12,VOTE16,PRES12,PRES16,OWNGUN,HELL,HEAVEN,ODDS1,ODDS2
1874,1,52,3,1,16,2,3,2,0,13,6,16,12,0,12,1,30,1,2,1,1,1,1,2,2,0,0,2,2,2,2,1
1881,2,24,2,5,3,3,4,2,2,13,10,11,0,0,9,1,0.25,2,1,0,1,2,1,2,2,0,0,2,2,1,2,2
1883,2,54,1,1,7,3,2,2,0,12,1,2,10,0,12,7,-1,1,2,1,0,2,1,2,2,0,0,2,1,1,2,2
1884,1,21,3,5,4,0,4,2,0,12,12,3,0,1,6,1,0.25,2,2,0,1,2,2,3,2,0,0,2,4,1,2,1
1886,2,60,1,3,2,2,2,2,0,12,12,12,0,12,12,1,8,1,2,0,2,3,3,2,2,0,0,2,1,1,1,2
1889,1,33,1,1,1,2,4,2,1,12,0,12,12,12,12,1,2,2,2,7,1,2,2,2,2,0,0,1,1,1,2,2
1895,2,49,3,3,7,2,3,1,0,13,12,0,0,0,9,1,0.25,2,2,0,2,2,2,2,2,0,0,2,1,1,2,2
1899,2,55,3,1,7,5,6,3,1,8,0,0,6,12,12,1,20,2,2,1,1,1,2,2,2,0,0,2,1,1,1,1
1903,2,80,1,1,10,5,3,3,0,10,5,5,5,0,12,7,-1,2,2,5,0,2,2,2,2,0,0,2,1,1,1,1
1905,2,45,3,2,5,3,5,5,0,4,5,3,0,3,9,1,0.75,2,2,0,1,3,3,2,2,0,0,2,4,4,2,1
1906,1,33,2,1,3,4,5,3,1,15,12,12,14,12,12,4,-1,2,2,7,0,3,1,2,2,0,0,2,1,1,2,2
1912,2,35,1,1,2,0,2,2,0,20,18,16,15,12,12,1,8,2,2,1,1,2,2,1,1,1,3,1,3,3,2,1
1914,1,43,1,3,0,2,1,1,0,12,5,16,0,0,12,1,0.25,1,2,0,1,4,2,1,1,2,3,1,2,2,2,1
1923,2,64,3,3,5,4,3,2,0,16,8,8,0,12,12,1,8,1,2,0,2,2,2,1,1,1,1,2,3,3,2,1
1925,1,56,1,5,3,3,2,2,0,11,12,10,0,12,12,1,3,2,2,0,2,2,2,1,1,1,2,1,2,2,2,1
1927,1,27,1,5,1,1,3,2,1,13,18,0,0,0,12,1,0.25,2,1,0,1,1,1,3,3,0,0,1,4,2,2,2
1930,2,71,3,3,3,1,1,1,0,16,12,8,0,0,12,2,0.25,2,2,0,1,1,2,1,1,1,2,2,2,2,2,2
1931,1,73,1,1,1,1,2,2,0,11,0,0,12,9,12,1,5,2,1,5,1,2,1,1,1,1,1,1,1,1,2,1
1935,2,53,1,3,3,4,3,3,0,12,15,12,0,2,10,2,0.75,2,1,0,2,3,2,2,2,0,0,2,1,1,2,1
1939,1,39,1,1,3,3,2,2,0,19,10,12,14,12,12,6,-1,2,2,2,0,2,2,2,2,0,0,1,2,1,2,1
1941,1,56,1,1,4,2,2,2,0,20,18,19,14,12,12,1,25,2,1,1,1,1,1,1,1,2,2,2,2,1,2,1
1943,2,62,1,1,2,3,2,2,0,16,18,16,16,0,12,5,-1,2,2,1,0,1,1,1,1,2,2,2,1,1,2,1
1950,1,29,1,5,2,0,1,1,0,16,16,16,0,12,12,1,6,1,2,0,3,1,3,2,1,0,3,1,3,3,2,1
1952,2,33,1,3,2,2,3,1,2,16,16,18,0,12,12,2,3,2,2,0,2,1,2,1,1,2,2,2,1,1,2,1
1958,1,51,1,3,1,6,2,1,0,14,14,14,0,12,12,1,1,2,2,0,3,1,2,1,1,1,2,1,2,2,2,1
1960,1,39,1,1,0,0,2,2,0,10,12,12,13,0,12,7,-1,1,2,1,0,3,2,2,2,0,0,2,4,4,2,1
1965,1,30,3,1,2,3,5,2,2,12,3,3,13,12,12,1,5,2,2,7,1,2,2,2,2,0,0,2,4,4,2,1
1966,2,32,1,1,3,3,5,2,0,13,0,4,12,12,12,1,9,2,2,1,1,2,2,2,1,0,1,2,1,1,2,1
1968,2,67,1,3,6,0,1,1,0,13,6,6,0,0,11,5,-1,2,2,0,0,2,1,1,1,1,1,2,2,2,2,1
1971,2,51,1,3,3,0,1,1,0,14,14,18,0,12,12,1,30,1,2,0,1,2,2,1,2,2,0,2,1,1,2,2
1973,1,28,2,5,3,1,1,1,0,16,12,12,0,9,10,4,-1,2,2,0,0,2,1,2,1,0,1,1,1,1,2,1
1976,2,70,1,1,4,1,2,2,0,12,15,12,6,0,12,5,-1,1,2,5,0,2,2,1,1,1,2,1,1,1,2,1
1979,1,59,3,4,8,4,2,2,0,2,0,0,0,7,8,1,4,2,2,0,2,3,3,2,2,0,0,2,1,2,1,2
1982,1,56,1,4,11,4,1,1,0,13,9,7,0,0,2,8,-1,2,2,0,0,2,3,1,1,1,1,2,2,2,2,2
1991,1,44,3,5,5,0,4,3,0,11,11,0,0,1,8,2,0.75,2,2,0,1,2,2,2,2,0,0,2,1,1,2,1
1994,2,43,1,3,12,3,4,2,1,9,0,0,0,0,12,7,-1,2,2,0,0,3,1,3,3,0,0,2,2,2,2,1
1995,1,51,1,3,3,2,1,1,0,8,0,0,0,0,9,8,-1,2,2,0,0,3,2,2,2,0,0,2,1,1,2,1
2005,1,49,1,1,2,0,2,2,0,15,14,13,16,0,12,6,-1,2,2,1,0,2,2,1,1,1,1,2,3,2,2,1
2011,1,19,1,5,2,0,3,3,0,12,16,16,0,0,1,6,-1,0,0,0,0,2,2,3,3,0,0,2,3,3,2,1
2017,2,49,1,3,3,2,3,3,0,12,11,15,0,0,12,7,-1,2,2,0,0,3,2,1,1,2,2,1,1,1,2,1
